"type","durationMinutes","startTime","endTime","startNum","endNum","eventSalinity"
"Extreme",195.000000000897,"2009-09-30 17:30:00","2009-09-30 20:45:00",39.7746,39.77497,4.99571428571429
"Extreme",389.999999998059,"2009-10-02 16:15:00","2009-10-02 22:45:00",39.77994,39.78068,4.89444444444444
"Extreme",254.999999996289,"2011-01-18 00:30:00","2011-01-18 04:45:00",41.07403,41.07451,3.38777777777778
"Extreme",104.999999998472,"2012-01-01 07:46:00","2012-01-01 09:31:00",42.02828,42.02848,4.6225
"Extreme",134.999999998035,"2012-01-20 00:01:00","2012-01-20 02:16:00",42.07945,42.07971,3.137
"Extreme",75.0000000026432,"2012-01-20 07:46:00","2012-01-20 09:01:00",42.08034,42.08048,3.045
"Extreme",314.999999999151,"2012-01-20 20:31:00","2012-01-21 01:46:00",42.08179,42.08239,3.67611111111111
"Extreme",90.0000000024249,"2012-01-21 12:46:00","2012-01-21 14:16:00",42.08365,42.08382,4.62571428571429
"Extreme",150.000000001552,"2012-01-22 01:31:00","2012-01-22 04:01:00",42.0851,42.08539,4.36818181818182
"Extreme",299.999999999369,"2012-04-01 18:46:00","2012-04-01 23:46:00",42.27885,42.27943,4.19190476190476
"Extreme",105.000000002207,"2012-11-21 08:31:00","2012-11-21 10:16:00",42.91878,42.91898,4.92125
"Extreme",165.000000001334,"2012-11-22 09:01:00","2012-11-22 11:46:00",42.92158,42.92189,4.63
"Extreme",120.000000001988,"2014-12-22 03:01:00","2014-12-22 05:01:00",45.00308,45.00331,3.85444444444444
"Extreme",119.999999998254,"2014-12-23 03:31:00","2014-12-23 05:31:00",45.00588,45.00611,4.05222222222222
"Extreme",389.999999998059,"2015-12-19 04:16:00","2015-12-19 10:46:00",45.99501,45.99575,3.4437037037037
"Extreme",60.0000000028615,"2015-12-19 20:31:00","2015-12-19 21:31:00",45.99686,45.99698,5.198
"Extreme",105.000000002207,"2017-02-11 03:00:00","2017-02-11 04:45:00",47.14555,47.14575,4.54875
"Extreme",239.999999996508,"2020-12-22 05:46:00","2020-12-22 09:46:00",51.00888,51.00933,3.68882352941176
"Extreme",209.999999996944,"2020-12-22 19:16:00","2020-12-22 22:46:00",51.01042,51.01082,4.44266666666667
"Extreme",330.000000002667,"2020-12-23 05:31:00","2020-12-23 11:01:00",51.01159,51.01222,3.04304347826087
"Extreme",164.999999997599,"2020-12-23 20:46:00","2020-12-23 23:31:00",51.01333,51.01364,4.605
"Extreme",135.00000000177,"2021-01-14 03:46:00","2021-01-14 06:01:00",51.07166,51.07192,4.087
"Extreme",225.00000000046,"2023-12-07 08:00:00","2023-12-07 11:45:00",53.96804,53.96846,4.300625
"Extreme",284.999999999587,"2023-12-07 20:00:00","2023-12-08 00:45:00",53.96941,53.96995,3.989
"Extreme",255.000000000024,"2023-12-08 07:30:00","2023-12-08 11:45:00",53.97072,53.9712,4.01277777777778
"Extreme",75.0000000026432,"2023-12-08 22:15:00","2023-12-08 23:30:00",53.9724,53.97255,5.04333333333333
"Severe",1589.99999999927,"2009-09-29 08:15:00","2009-09-30 10:45:00",39.7708,39.77383,7.49299065420561
"Severe",74.9999999989086,"2009-09-30 14:45:00","2009-09-30 16:00:00",39.77429,39.77443,10.2616666666667
"Severe",195.000000000897,"2009-09-30 17:30:00","2009-09-30 20:45:00",39.7746,39.77497,4.99571428571429
"Severe",179.999999997381,"2009-09-30 22:30:00","2009-10-01 01:30:00",39.77517,39.77551,9.03384615384615
"Severe",705.000000000945,"2009-10-02 16:00:00","2009-10-03 03:45:00",39.77991,39.78125,6.253125
"Severe",210.000000000679,"2010-04-07 18:45:00","2010-04-07 22:15:00",40.29255,40.29295,9.10066666666667
"Severe",195.000000000897,"2010-12-15 06:45:00","2010-12-15 10:00:00",40.98159,40.98196,9.04214285714286
"Severe",375.000000002012,"2010-12-15 19:15:00","2010-12-16 01:30:00",40.98302,40.98373,8.00692307692308
"Severe",210.000000000679,"2010-12-16 07:30:00","2010-12-16 11:00:00",40.98442,40.98482,8.81666666666667
"Severe",344.999999998714,"2010-12-16 20:30:00","2010-12-17 02:15:00",40.9859,40.98656,8.5544
"Severe",119.999999998254,"2010-12-29 20:45:00","2010-12-29 22:45:00",41.02155,41.02178,8.55555555555556
"Severe",89.9999999986903,"2010-12-30 08:15:00","2010-12-30 09:45:00",41.02286,41.02303,9.64142857142857
"Severe",330.000000002667,"2010-12-30 20:30:00","2010-12-31 02:00:00",41.02426,41.02489,8.0395652173913
"Severe",255.000000000024,"2011-01-17 10:00:00","2011-01-17 14:15:00",41.07237,41.07286,7.61388888888889
"Severe",539.999999999611,"2011-01-17 20:00:00","2011-01-18 05:00:00",41.07352,41.07454,4.72297297297297
"Severe",195.000000000897,"2011-01-18 11:15:00","2011-01-18 14:30:00",41.07526,41.07563,6.86428571428571
"Severe",344.999999998714,"2011-01-18 22:45:00","2011-01-19 04:30:00",41.07657,41.07723,9.23791666666667
"Severe",165.000000001334,"2011-01-20 02:30:00","2011-01-20 05:15:00",41.07974,41.08005,8.565
"Severe",134.999999998035,"2011-03-03 01:30:00","2011-03-03 03:45:00",41.19469,41.19495,9.636
"Severe",74.9999999989086,"2011-03-04 03:00:00","2011-03-04 04:15:00",41.1976,41.19775,9.54666666666667
"Severe",405.000000001576,"2011-12-31 03:01:00","2011-12-31 09:46:00",42.025,42.02577,6.86321428571429
"Severe",360.000000002231,"2011-12-31 16:31:00","2011-12-31 22:31:00",42.02654,42.02723,7.4708
"Severe",375.000000002012,"2012-01-01 03:31:00","2012-01-01 09:46:00",42.0278,42.02851,5.61923076923077
"Severe",329.999999998932,"2012-01-01 18:01:00","2012-01-01 23:31:00",42.02945,42.03008,7.47434782608696
