"type","durationMinutes","startTime","endTime","startNum","endNum","eventpH"
"Severe",59.9999999991269,"2009-07-29 16:15:00","2009-07-29 17:15:00",39.60186,39.60197,7.546
"Severe",74.9999999989086,"2009-08-19 05:45:00","2009-08-19 07:00:00",39.65819,39.65833,7.595
"Severe",74.9999999989086,"2009-08-19 09:00:00","2009-08-19 10:15:00",39.65856,39.6587,7.60333333333333
"Severe",135.00000000177,"2009-08-19 15:45:00","2009-08-19 18:00:00",39.65933,39.65959,7.589
"Severe",89.9999999986903,"2009-08-20 11:00:00","2009-08-20 12:30:00",39.66153,39.6617,7.59142857142857
"Severe",120.000000001988,"2009-08-21 11:30:00","2009-08-21 13:30:00",39.66433,39.66455,7.58111111111111
"Severe",149.999999997817,"2009-08-23 12:00:00","2009-08-23 14:30:00",39.66986,39.67015,7.57909090909091
"Severe",360.000000002231,"2009-08-24 09:30:00","2009-08-24 15:30:00",39.67232,39.673,7.5656
"Severe",299.999999999369,"2009-08-25 11:45:00","2009-08-25 16:45:00",39.67531,39.67588,7.56857142857143
"Severe",165.000000001334,"2009-08-31 15:15:00","2009-08-31 18:00:00",39.69215,39.69247,7.58416666666667
"Severe",345.000000002449,"2009-09-01 01:30:00","2009-09-01 07:15:00",39.69332,39.69398,7.55333333333333
"Severe",210.000000000679,"2009-09-01 15:00:00","2009-09-01 18:30:00",39.69486,39.69526,7.546
"Severe",374.999999998278,"2009-09-02 03:00:00","2009-09-02 09:15:00",39.69623,39.69695,7.585
"Severe",195.000000000897,"2009-09-02 15:30:00","2009-09-02 18:45:00",39.69766,39.69803,7.59714285714286
"Severe",165.000000001334,"2009-12-23 06:00:00","2009-12-23 08:45:00",40.00342,40.00374,7.60333333333333
"Severe",284.999999999587,"2010-07-07 14:00:00","2010-07-07 18:45:00",40.54132,40.54187,7.5375
"Severe",119.999999998254,"2010-07-07 23:45:00","2010-07-08 01:45:00",40.54244,40.54267,7.59
"Severe",105.000000002207,"2010-07-14 11:30:00","2010-07-14 13:15:00",40.56022,40.56042,7.58
"Severe",240.000000000242,"2010-07-15 10:15:00","2010-07-15 14:15:00",40.56281,40.56327,7.59411764705882
"Severe",285.000000003322,"2010-07-16 10:00:00","2010-07-16 14:45:00",40.56553,40.56607,7.578
"Severe",389.999999998059,"2010-07-17 09:00:00","2010-07-17 15:30:00",40.56815,40.56889,7.56481481481481
"Severe",74.999999995174,"2010-07-17 20:45:00","2010-07-17 22:00:00",40.56949,40.56963,7.59166666666667
"Severe",359.999999998496,"2010-07-18 10:15:00","2010-07-18 16:15:00",40.57103,40.57172,7.538
"Severe",344.999999998714,"2010-07-18 21:15:00","2010-07-19 03:00:00",40.57229,40.57295,7.5725
"Severe",330.000000002667,"2010-07-19 11:30:00","2010-07-19 17:00:00",40.57392,40.57454,7.52391304347826
"Severe",89.9999999986903,"2010-07-20 02:00:00","2010-07-20 03:30:00",40.57557,40.57574,7.58857142857143
"Severe",269.999999999806,"2010-07-20 13:00:00","2010-07-20 17:30:00",40.57683,40.57734,7.56842105263158
"Severe",299.999999999369,"2010-07-20 23:45:00","2010-07-21 04:45:00",40.57805,40.57862,7.57666666666667
"Severe",269.999999999806,"2010-07-21 14:00:00","2010-07-21 18:30:00",40.57968,40.58019,7.54052631578947
"Severe",330.000000002667,"2010-07-22 00:15:00","2010-07-22 05:45:00",40.58085,40.58148,7.57695652173913
"Severe",135.00000000177,"2010-07-22 15:00:00","2010-07-22 17:15:00",40.58253,40.58279,7.585
"Severe",255.000000000024,"2010-08-25 07:00:00","2010-08-25 11:15:00",40.67477,40.67526,7.565
"Severe",180.000000001115,"2010-08-25 16:45:00","2010-08-25 19:45:00",40.67588,40.67623,7.56692307692308
"Severe",465.000000000703,"2010-08-26 05:45:00","2010-08-26 13:30:00",40.67737,40.67825,7.5578125
"Severe",255.000000000024,"2010-08-26 17:15:00","2010-08-26 21:30:00",40.67868,40.67917,7.56444444444444
"Severe",495.000000000266,"2010-08-27 05:45:00","2010-08-27 14:00:00",40.68011,40.68105,7.58764705882353
"Severe",59.9999999991269,"2010-08-27 17:45:00","2010-08-27 18:45:00",40.68148,40.68159,7.598
"Severe",360.000000002231,"2010-08-28 08:45:00","2010-08-28 14:45:00",40.68319,40.68388,7.574
"Severe",495.000000000266,"2010-08-29 07:15:00","2010-08-29 15:30:00",40.68576,40.6867,7.54294117647059
"Severe",240.000000000242,"2010-08-29 18:15:00","2010-08-29 22:15:00",40.68701,40.68747,7.56529411764706
"Severe",585.000000002691,"2010-08-30 08:15:00","2010-08-30 18:00:00",40.68861,40.68973,7.56875
"Severe",59.9999999991269,"2010-08-30 19:30:00","2010-08-30 20:30:00",40.6899,40.69001,7.594
"Severe",135.00000000177,"2010-08-31 13:30:00","2010-08-31 15:45:00",40.69195,40.69221,7.587
"Severe",284.999999999587,"2010-12-15 20:45:00","2010-12-16 01:30:00",40.98319,40.98373,7.5115
"Severe",210.000000000679,"2010-12-16 07:30:00","2010-12-16 11:00:00",40.98442,40.98482,7.572
"Severe",329.999999998932,"2010-12-16 21:00:00","2010-12-17 02:30:00",40.98596,40.98659,7.4825
"Severe",240.000000000242,"2010-12-30 22:00:00","2010-12-31 02:00:00",41.02443,41.02489,7.47764705882353
"Severe",210.000000000679,"2011-01-17 10:30:00","2011-01-17 14:00:00",41.07243,41.07283,7.51266666666667
"Severe",554.999999999393,"2011-01-17 20:00:00","2011-01-18 05:15:00",41.07352,41.07457,7.16894736842105
"Severe",210.000000000679,"2011-01-18 11:15:00","2011-01-18 14:45:00",41.07526,41.07566,7.34333333333333
"Severe",375.000000002012,"2011-01-18 22:45:00","2011-01-19 05:00:00",41.07657,41.07728,7.43884615384615
"Severe",210.000000000679,"2011-01-20 01:45:00","2011-01-20 05:15:00",41.07965,41.08005,7.388
"Severe",105.000000002207,"2011-01-21 03:30:00","2011-01-21 05:15:00",41.08259,41.08279,7.5375
"Severe",60.0000000028615,"2011-06-23 12:31:00","2011-06-23 13:31:00",41.5028,41.50291,7.582
"Severe",269.999999999806,"2011-06-26 14:16:00","2011-06-26 18:46:00",41.51122,41.51173,7.58578947368421
"Severe",360.000000002231,"2011-06-27 00:01:00","2011-06-27 06:01:00",41.51233,41.51302,7.5772
"Severe",75.0000000026432,"2011-07-05 10:01:00","2011-07-05 11:16:00",41.53539,41.53553,7.595
"Severe",450.000000000921,"2011-07-06 08:01:00","2011-07-06 15:31:00",41.5379,41.53876,7.56838709677419
"Severe",494.000000003268,"2011-07-07 08:46:00","2011-07-07 17:00:00",41.54073,41.54167,7.53823529411765
"Severe",479.99999999675,"2011-07-07 18:30:00","2011-07-08 02:30:00",41.54184,41.54275,7.49787878787879
"Severe",465.000000000703,"2011-07-08 09:15:00","2011-07-08 17:00:00",41.54352,41.54441,7.49375
"Severe",480.000000000484,"2011-07-08 18:45:00","2011-07-09 02:45:00",41.54461,41.54552,7.47424242424242
"Severe",375.000000002012,"2011-07-09 10:45:00","2011-07-09 17:00:00",41.54643,41.54715,7.52346153846154
"Severe",405.000000001576,"2011-07-09 21:00:00","2011-07-10 03:45:00",41.5476,41.54837,7.50071428571429
"Severe",435.000000001139,"2011-07-10 12:00:00","2011-07-10 19:15:00",41.54932,41.55014,7.50966666666667
"Severe",390.000000001794,"2011-07-10 22:45:00","2011-07-11 05:15:00",41.55054,41.55128,7.54148148148148
"Severe",345.000000002449,"2011-07-11 13:30:00","2011-07-11 19:15:00",41.55223,41.55288,7.56125
"Severe",75.0000000026432,"2011-07-12","2011-07-12 01:15:00",41.55342,41.55357,7.61166666666667
"Severe",134.999999998035,"2011-07-12 15:15:00","2011-07-12 17:30:00",41.55517,41.55542,7.582
"Severe",60.0000000028615,"2011-07-23 22:00:00","2011-07-23 23:00:00",41.58607,41.58619,7.612
"Severe",104.999999998472,"2011-07-24 00:30:00","2011-07-24 02:15:00",41.58636,41.58656,7.615
"Severe",224.999999996726,"2011-07-24 13:00:00","2011-07-24 16:45:00",41.58779,41.58821,7.56125
"Severe",344.999999998714,"2011-07-24 22:15:00","2011-07-25 04:00:00",41.58884,41.5895,7.52375
"Severe",89.9999999986903,"2011-07-25 14:30:00","2011-07-25 16:00:00",41.5907,41.59087,7.59571428571429
"Severe",119.999999998254,"2011-07-26 02:00:00","2011-07-26 04:00:00",41.59201,41.59224,7.59666666666667
"Severe",134.999999998035,"2011-07-26 15:45:00","2011-07-26 18:00:00",41.59358,41.59384,7.609
"Severe",240.000000000242,"2011-07-27 02:00:00","2011-07-27 06:00:00",41.59475,41.59521,7.57529411764706
"Severe",269.999999999806,"2011-07-27 14:45:00","2011-07-27 19:15:00",41.5962,41.59672,7.59526315789474
